epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2719.67,0.70013,0.78333,0.51603,0.9649,0.81205,0.89506,0.90078,0.75592,0.8101,0.8934,0.90142,0.64921,0.60198,0.65716,0.41878,0.94571,0.0094258,0.0094258,0.0094258
31,2806.85,0.6905,0.79377,0.51208,0.95876,0.84597,0.89453,0.91881,0.76612,0.86349,0.88667,0.91971,0.664,0.60568,0.65909,0.40944,0.94439,0.009406,0.009406,0.009406
32,2896.28,0.68699,0.76681,0.50762,0.95395,0.85318,0.89938,0.92701,0.77719,0.85353,0.89816,0.92843,0.66923,0.61688,0.66715,0.42131,0.94995,0.0093862,0.0093862,0.0093862
33,2983.26,0.68506,0.75688,0.49548,0.96308,0.85208,0.91044,0.93092,0.78195,0.86065,0.90826,0.93085,0.66818,0.60456,0.66683,0.40436,0.94915,0.0093664,0.0093664,0.0093664
34,3070.1,0.67621,0.76736,0.48731,0.96074,0.87253,0.89196,0.92357,0.77775,0.8721,0.89144,0.92261,0.66519,0.58274,0.64354,0.40229,0.93846,0.0093466,0.0093466,0.0093466
35,3157,0.6814,0.75894,0.49846,0.96066,0.84223,0.8918,0.91713,0.77482,0.84196,0.89097,0.91728,0.65297,0.57627,0.66045,0.41173,0.92788,0.0093268,0.0093268,0.0093268
36,3243.79,0.66915,0.77145,0.4887,0.95106,0.8985,0.89226,0.93724,0.8008,0.89617,0.89824,0.93976,0.68277,0.56816,0.62877,0.39187,0.93341,0.009307,0.009307,0.009307
37,3331.76,0.65163,0.7413,0.46406,0.94886,0.84795,0.92649,0.93659,0.79726,0.84914,0.92736,0.93931,0.67936,0.58034,0.64245,0.38727,0.93303,0.0092872,0.0092872,0.0092872
38,3417.28,0.67545,0.75678,0.48771,0.95781,0.81268,0.92614,0.92208,0.7886,0.81431,0.92589,0.92405,0.66972,0.56844,0.62772,0.39707,0.93205,0.0092674,0.0092674,0.0092674
39,3502.76,0.65143,0.74673,0.4721,0.9368,0.8558,0.90493,0.92301,0.78467,0.85732,0.90377,0.9236,0.67466,0.58505,0.65015,0.38721,0.93276,0.0092476,0.0092476,0.0092476
40,3588.38,0.64913,0.73436,0.46572,0.94204,0.86255,0.91844,0.93358,0.7981,0.87802,0.91217,0.93641,0.68213,0.55953,0.63511,0.38449,0.92739,0.0092278,0.0092278,0.0092278
41,3673.65,0.65155,0.72688,0.47242,0.94627,0.88303,0.89916,0.938,0.80825,0.88033,0.90207,0.94104,0.68774,0.54736,0.62004,0.3703,0.92169,0.009208,0.009208,0.009208
42,3757.71,0.64796,0.75943,0.47132,0.94078,0.85174,0.92266,0.93783,0.80662,0.85266,0.92432,0.9389,0.69115,0.54553,0.62249,0.36539,0.91927,0.0091882,0.0091882,0.0091882
43,3842.72,0.6464,0.74683,0.46498,0.93756,0.86342,0.92121,0.93061,0.80203,0.86397,0.92133,0.93133,0.68009,0.54363,0.61745,0.3722,0.91374,0.0091684,0.0091684,0.0091684
44,3927.42,0.64345,0.7338,0.45459,0.9376,0.84769,0.93243,0.93618,0.81131,0.84878,0.93934,0.93931,0.70148,0.538,0.61873,0.36611,0.91277,0.0091486,0.0091486,0.0091486
45,4012.51,0.63377,0.73864,0.45383,0.93928,0.88945,0.90864,0.94409,0.81263,0.89221,0.90666,0.94444,0.69943,0.54126,0.61608,0.36003,0.91946,0.0091288,0.0091288,0.0091288
46,4096.28,0.64321,0.72992,0.4597,0.93692,0.87854,0.91283,0.9487,0.81499,0.87875,0.91181,0.9489,0.68741,0.54606,0.61889,0.36191,0.91131,0.009109,0.009109,0.009109
47,4179.68,0.6274,0.72776,0.44558,0.93108,0.88968,0.89807,0.93807,0.8144,0.89043,0.89642,0.93936,0.67902,0.52265,0.61362,0.35211,0.90456,0.0090892,0.0090892,0.0090892
48,4262.83,0.62646,0.74376,0.45634,0.92655,0.8969,0.90813,0.93141,0.80273,0.89636,0.90624,0.93213,0.68086,0.53267,0.61794,0.35319,0.90602,0.0090694,0.0090694,0.0090694
49,4345.42,0.62494,0.71426,0.45482,0.92829,0.8917,0.92427,0.95053,0.82753,0.89179,0.92431,0.95128,0.70375,0.53211,0.61435,0.36354,0.91067,0.0090496,0.0090496,0.0090496
50,4429.4,0.64248,0.74264,0.4597,0.93815,0.86425,0.92509,0.94088,0.81376,0.86376,0.92406,0.94253,0.69033,0.52519,0.60791,0.35199,0.90206,0.0090298,0.0090298,0.0090298
51,4512.94,0.61032,0.69764,0.43559,0.92785,0.88915,0.92415,0.94898,0.81659,0.89086,0.92189,0.95137,0.71001,0.52683,0.59779,0.35279,0.90427,0.00901,0.00901,0.00901
52,4598.63,0.62316,0.70698,0.44675,0.932,0.90269,0.9191,0.95012,0.82872,0.90321,0.92145,0.95192,0.70376,0.5142,0.5919,0.34899,0.89769,0.0089902,0.0089902,0.0089902
53,4683.57,0.60976,0.70779,0.4428,0.92057,0.8968,0.92422,0.95216,0.83044,0.89698,0.9244,0.95244,0.69498,0.51327,0.59813,0.34334,0.89963,0.0089704,0.0089704,0.0089704
54,4768.21,0.6089,0.70942,0.43573,0.92016,0.90272,0.89852,0.94752,0.82457,0.90042,0.90031,0.94967,0.69966,0.50834,0.59427,0.34152,0.89838,0.0089506,0.0089506,0.0089506
55,4850.99,0.61591,0.71348,0.43742,0.92266,0.89678,0.94165,0.95445,0.83554,0.89608,0.94085,0.9547,0.7162,0.50921,0.58981,0.33399,0.89959,0.0089308,0.0089308,0.0089308
56,4933.42,0.60887,0.70882,0.43793,0.928,0.9095,0.92113,0.95048,0.83614,0.90955,0.92116,0.95076,0.71162,0.50066,0.59131,0.33886,0.89328,0.008911,0.008911,0.008911
57,5017.44,0.60925,0.70562,0.43549,0.92147,0.88112,0.9219,0.95217,0.83588,0.88241,0.92321,0.95251,0.70869,0.50717,0.5974,0.33371,0.89851,0.0088912,0.0088912,0.0088912
58,5100.37,0.60259,0.68476,0.42137,0.91453,0.88341,0.93323,0.95547,0.84294,0.88117,0.93409,0.95725,0.71776,0.49905,0.58809,0.33603,0.89121,0.0088714,0.0088714,0.0088714
59,5184.18,0.60882,0.69852,0.42493,0.92102,0.87794,0.94425,0.95667,0.83686,0.87781,0.94382,0.95859,0.71572,0.50119,0.58392,0.33335,0.89203,0.0088516,0.0088516,0.0088516
60,5267.96,0.59949,0.69424,0.42213,0.92058,0.90742,0.92063,0.9626,0.84734,0.89082,0.93804,0.96411,0.71203,0.49915,0.58413,0.3262,0.89238,0.0088318,0.0088318,0.0088318
61,5351.81,0.59333,0.68543,0.41439,0.91274,0.88206,0.94624,0.95488,0.8365,0.88235,0.94654,0.95561,0.70762,0.49471,0.58447,0.31631,0.88736,0.008812,0.008812,0.008812
62,5437.38,0.5803,0.69699,0.40418,0.90578,0.90239,0.95146,0.96578,0.85413,0.90446,0.95371,0.96614,0.72165,0.48882,0.58283,0.31496,0.884,0.0087922,0.0087922,0.0087922
63,5523.89,0.59104,0.69502,0.41317,0.91057,0.91952,0.92675,0.96055,0.84867,0.92088,0.9264,0.96138,0.71846,0.48162,0.57177,0.3109,0.8843,0.0087724,0.0087724,0.0087724
64,5608.78,0.59017,0.69157,0.41341,0.90983,0.90786,0.93036,0.96331,0.85344,0.90742,0.92988,0.96351,0.73143,0.48462,0.5787,0.31307,0.88541,0.0087526,0.0087526,0.0087526
65,5694.65,0.58386,0.68454,0.39706,0.90455,0.92394,0.93534,0.96603,0.85609,0.91826,0.93806,0.9663,0.73276,0.48519,0.57442,0.30487,0.88319,0.0087328,0.0087328,0.0087328
66,5777.1,0.5832,0.69283,0.41218,0.90464,0.92837,0.92966,0.96455,0.85718,0.92811,0.92937,0.9653,0.72571,0.4806,0.5774,0.31216,0.88199,0.008713,0.008713,0.008713
67,5861.19,0.58297,0.69196,0.40579,0.90849,0.92354,0.94417,0.96894,0.86157,0.91954,0.94976,0.96894,0.72609,0.4736,0.56512,0.30467,0.87786,0.0086932,0.0086932,0.0086932
68,5946.63,0.5882,0.68817,0.40493,0.91028,0.93792,0.94045,0.97254,0.86626,0.93663,0.93896,0.97295,0.72344,0.47343,0.57464,0.30568,0.87788,0.0086734,0.0086734,0.0086734
69,6033.19,0.58035,0.68408,0.40045,0.90301,0.90921,0.94939,0.97022,0.86111,0.9097,0.9499,0.97036,0.72783,0.47041,0.57033,0.30357,0.87731,0.0086536,0.0086536,0.0086536
70,6120.26,0.57918,0.67912,0.39103,0.8993,0.93279,0.94155,0.97494,0.86581,0.93275,0.94104,0.97475,0.72408,0.467,0.56003,0.29996,0.8771,0.0086338,0.0086338,0.0086338
71,6203.6,0.57215,0.67118,0.39852,0.90237,0.91251,0.95631,0.96962,0.86546,0.9096,0.95363,0.96932,0.72355,0.46288,0.56222,0.29897,0.87642,0.008614,0.008614,0.008614
72,6288.36,0.5737,0.6801,0.40207,0.90458,0.91849,0.93269,0.9676,0.85741,0.91759,0.93213,0.96788,0.7135,0.47018,0.56649,0.30141,0.87885,0.0085942,0.0085942,0.0085942
73,6372.59,0.56888,0.66978,0.38973,0.89337,0.92207,0.94954,0.97093,0.86942,0.92524,0.94519,0.97107,0.7239,0.46377,0.56465,0.29181,0.8701,0.0085744,0.0085744,0.0085744
74,6458.09,0.57787,0.70443,0.39913,0.90447,0.91262,0.95259,0.96817,0.86277,0.93363,0.9357,0.96853,0.72064,0.4602,0.5646,0.28822,0.86942,0.0085546,0.0085546,0.0085546
75,6540.84,0.5644,0.67559,0.38824,0.89265,0.93677,0.93172,0.97197,0.86871,0.93646,0.93077,0.97198,0.73613,0.45895,0.55616,0.28714,0.86615,0.0085348,0.0085348,0.0085348
76,6627.89,0.55936,0.66949,0.38214,0.89172,0.95188,0.9392,0.97789,0.8751,0.95177,0.93906,0.97807,0.73821,0.45535,0.55302,0.28726,0.86735,0.008515,0.008515,0.008515
77,6714.07,0.56984,0.67779,0.40157,0.89799,0.93128,0.94453,0.97628,0.8783,0.93077,0.94331,0.97626,0.73653,0.45406,0.5571,0.28353,0.86484,0.0084952,0.0084952,0.0084952
78,6798.27,0.55953,0.66479,0.38851,0.89931,0.93463,0.94857,0.98023,0.87508,0.92539,0.95207,0.97945,0.72398,0.45366,0.55421,0.28306,0.86472,0.0084754,0.0084754,0.0084754
79,6884.61,0.5578,0.6546,0.38493,0.89218,0.95866,0.93943,0.97412,0.87209,0.95968,0.9402,0.97449,0.73478,0.45198,0.54551,0.27886,0.86346,0.0084556,0.0084556,0.0084556
80,6969.43,0.54792,0.66773,0.377,0.89039,0.93161,0.94998,0.97754,0.87937,0.93322,0.95059,0.9778,0.73508,0.43997,0.55161,0.27617,0.86294,0.0084358,0.0084358,0.0084358
81,7053.55,0.5523,0.66677,0.38365,0.89055,0.94507,0.9352,0.96869,0.86752,0.94509,0.93521,0.96894,0.73432,0.44394,0.55358,0.28435,0.86665,0.008416,0.008416,0.008416
82,7138.73,0.55264,0.6638,0.37799,0.8926,0.95072,0.95971,0.9825,0.88671,0.95009,0.95906,0.98219,0.74042,0.43944,0.5515,0.27285,0.8658,0.0083962,0.0083962,0.0083962
83,7224.51,0.55676,0.66986,0.3854,0.8939,0.93291,0.95677,0.97369,0.87733,0.9324,0.95604,0.97353,0.7247,0.43952,0.5482,0.27413,0.86251,0.0083764,0.0083764,0.0083764
84,7308.58,0.54642,0.66087,0.37751,0.88416,0.94918,0.95606,0.98131,0.88953,0.95274,0.95814,0.98159,0.73951,0.42991,0.54585,0.26866,0.85445,0.0083566,0.0083566,0.0083566
85,7391.04,0.54173,0.65299,0.37541,0.89057,0.95061,0.94908,0.98228,0.88843,0.94891,0.94732,0.98184,0.73743,0.43598,0.54931,0.26845,0.85602,0.0083368,0.0083368,0.0083368
86,7479.45,0.54638,0.65992,0.36631,0.89381,0.94622,0.96204,0.98168,0.8883,0.95153,0.96011,0.98174,0.74805,0.4306,0.54366,0.26566,0.85563,0.008317,0.008317,0.008317
87,7563.51,0.54829,0.65721,0.37295,0.89209,0.95451,0.96079,0.98522,0.89295,0.96429,0.95569,0.98502,0.74261,0.44068,0.54241,0.2711,0.85912,0.0082972,0.0082972,0.0082972
88,7650.52,0.54175,0.65834,0.36422,0.88172,0.94629,0.96609,0.98405,0.89274,0.94537,0.96512,0.98384,0.74589,0.42936,0.53633,0.26217,0.85307,0.0082774,0.0082774,0.0082774
89,7735.28,0.54054,0.63892,0.36438,0.8856,0.96261,0.96255,0.98566,0.89241,0.96406,0.96171,0.98558,0.75299,0.4276,0.53365,0.25894,0.85153,0.0082576,0.0082576,0.0082576
90,7823.05,0.54205,0.64983,0.36425,0.8876,0.93906,0.97965,0.98362,0.89646,0.93595,0.97683,0.98224,0.74473,0.42347,0.5381,0.26365,0.85255,0.0082378,0.0082378,0.0082378
91,7909.5,0.53419,0.66063,0.36561,0.88275,0.95542,0.96265,0.98376,0.89067,0.95804,0.95792,0.98365,0.73997,0.42282,0.53704,0.263,0.85131,0.008218,0.008218,0.008218
92,7999.75,0.53236,0.65185,0.36116,0.88012,0.96449,0.95645,0.98546,0.89372,0.96449,0.95645,0.98534,0.73923,0.4213,0.53094,0.25865,0.8513,0.0081982,0.0081982,0.0081982
93,8085.86,0.53149,0.63879,0.37215,0.88147,0.94309,0.978,0.98709,0.89629,0.94309,0.978,0.98697,0.74728,0.41698,0.53195,0.25254,0.84863,0.0081784,0.0081784,0.0081784
94,8173.51,0.52776,0.63914,0.35698,0.88106,0.96054,0.96667,0.98776,0.8961,0.96025,0.96637,0.9876,0.75157,0.41575,0.53172,0.25483,0.84934,0.0081586,0.0081586,0.0081586
95,8262.98,0.52616,0.63884,0.35374,0.87616,0.96315,0.95889,0.98565,0.89614,0.96188,0.9576,0.98517,0.74244,0.41368,0.52839,0.24971,0.84691,0.0081388,0.0081388,0.0081388
96,8351.39,0.53044,0.64362,0.36611,0.8738,0.96055,0.9779,0.98764,0.89642,0.96054,0.9776,0.98748,0.74371,0.4103,0.52777,0.24823,0.84292,0.008119,0.008119,0.008119
97,8439.29,0.52157,0.63366,0.35246,0.87405,0.96013,0.96317,0.98679,0.89994,0.96168,0.96444,0.98714,0.75767,0.40673,0.52467,0.24446,0.84252,0.0080992,0.0080992,0.0080992
98,8526.22,0.51393,0.64338,0.34761,0.87103,0.97076,0.94946,0.98728,0.89857,0.97022,0.9485,0.9869,0.74289,0.4061,0.52705,0.24456,0.84285,0.0080794,0.0080794,0.0080794
99,8616.95,0.53206,0.64631,0.35939,0.87409,0.95396,0.95884,0.98248,0.89546,0.95128,0.96071,0.98252,0.74579,0.4126,0.53119,0.24668,0.84441,0.0080596,0.0080596,0.0080596
100,8701.79,0.51853,0.63296,0.35499,0.87119,0.97654,0.95682,0.98849,0.90135,0.97638,0.95667,0.98834,0.74791,0.40446,0.52162,0.24174,0.84032,0.0080398,0.0080398,0.0080398
101,8791.89,0.52467,0.63387,0.35098,0.87908,0.97543,0.96963,0.98927,0.90196,0.97505,0.96891,0.98911,0.7522,0.40451,0.52071,0.23947,0.84136,0.00802,0.00802,0.00802
102,8875.73,0.5224,0.63283,0.35264,0.87375,0.96705,0.97053,0.98964,0.90372,0.95793,0.97942,0.9898,0.75387,0.40176,0.51961,0.23761,0.84146,0.0080002,0.0080002,0.0080002
103,8964.14,0.51285,0.62388,0.34777,0.86903,0.96653,0.9703,0.98996,0.90351,0.96703,0.97412,0.98987,0.7548,0.4018,0.51721,0.24066,0.84153,0.0079804,0.0079804,0.0079804
104,9051.87,0.50868,0.61909,0.33556,0.86805,0.9753,0.96882,0.99124,0.91156,0.97467,0.96817,0.99119,0.75569,0.39109,0.51545,0.23082,0.83528,0.0079606,0.0079606,0.0079606
105,9138.11,0.51756,0.63196,0.35057,0.87486,0.96697,0.97375,0.9895,0.90815,0.96616,0.97291,0.98925,0.75132,0.39575,0.51823,0.23614,0.83883,0.0079408,0.0079408,0.0079408
106,9223.18,0.5066,0.6253,0.34028,0.87148,0.97474,0.97197,0.99005,0.90913,0.97476,0.97198,0.98997,0.74988,0.39406,0.51629,0.23465,0.83748,0.007921,0.007921,0.007921
107,9311.03,0.50734,0.62458,0.33242,0.86739,0.98124,0.96227,0.99009,0.90878,0.98256,0.96353,0.99,0.75408,0.39298,0.51269,0.23017,0.83523,0.0079012,0.0079012,0.0079012
108,9397.95,0.50354,0.618,0.343,0.86584,0.97423,0.97222,0.9902,0.91497,0.9736,0.97157,0.99005,0.7569,0.39031,0.50815,0.23315,0.83677,0.0078814,0.0078814,0.0078814
109,9484.68,0.49949,0.62058,0.33645,0.86825,0.97152,0.973,0.989,0.91061,0.97121,0.97268,0.9889,0.75484,0.38605,0.50317,0.22982,0.83595,0.0078616,0.0078616,0.0078616
110,9573.17,0.50002,0.61617,0.33842,0.86731,0.95462,0.97967,0.98758,0.91135,0.95348,0.97832,0.98737,0.74901,0.38388,0.51084,0.22956,0.83422,0.0078418,0.0078418,0.0078418
111,9660.35,0.4983,0.6191,0.33334,0.86141,0.98243,0.97069,0.98972,0.91253,0.98198,0.9699,0.98973,0.76298,0.38622,0.50998,0.22783,0.83233,0.007822,0.007822,0.007822
112,9747.06,0.49538,0.61217,0.33555,0.86539,0.97601,0.97792,0.99093,0.9167,0.9753,0.97746,0.99093,0.75896,0.38313,0.50781,0.22659,0.83025,0.0078022,0.0078022,0.0078022
113,9835.09,0.49788,0.62693,0.33086,0.85993,0.96862,0.97557,0.98754,0.90888,0.97493,0.97325,0.98849,0.75321,0.378,0.50691,0.22543,0.83046,0.0077824,0.0077824,0.0077824
114,9921.12,0.49709,0.61494,0.33476,0.8632,0.97532,0.97548,0.98888,0.91408,0.97421,0.97433,0.98866,0.75196,0.37803,0.50679,0.22245,0.82939,0.0077626,0.0077626,0.0077626
115,10006,0.50286,0.62786,0.33148,0.87058,0.9712,0.97952,0.98861,0.91616,0.9704,0.97868,0.98859,0.76094,0.37326,0.50543,0.22134,0.82892,0.0077428,0.0077428,0.0077428
116,10094.2,0.49721,0.61992,0.33202,0.86158,0.97502,0.97849,0.98894,0.91775,0.97405,0.97753,0.9888,0.76091,0.37448,0.50697,0.22009,0.82768,0.007723,0.007723,0.007723
117,10182.9,0.49705,0.61567,0.32384,0.8624,0.97581,0.98402,0.98968,0.91741,0.97534,0.98337,0.98955,0.75884,0.38054,0.50793,0.21952,0.8303,0.0077032,0.0077032,0.0077032
118,10267.2,0.50224,0.6197,0.33078,0.8661,0.97788,0.97551,0.99025,0.91601,0.97766,0.97659,0.99028,0.75214,0.37786,0.50245,0.21862,0.82941,0.0076834,0.0076834,0.0076834
119,10354.4,0.49606,0.61946,0.32762,0.86074,0.98248,0.9758,0.99001,0.91376,0.98215,0.97548,0.98991,0.75959,0.37415,0.50028,0.21694,0.8271,0.0076636,0.0076636,0.0076636
